<Header>
Filename:	20221115_H2_Plastik_Gr7_2022-15-11@11-44-28.dat
Comment:	
</Header>


Date	Time	MFC1 SP [ml/min]	MFC1 PV [ml/min]	MFC2 SP [ml/min]	MFC2 PV [ml/min]	MFC3 SP [ml/min]	MFC3 PV [ml/min]	P SP [bar]	P PV [bar]	T0 [�C]	T1 [�C]	T2 [�C]	T3 [�C]	T4 [�C]	T5 [�C]	T6 [�C]	T7 [�C]	Tcjc0 [�C]	Tcjc1 [�C]	ET SP [�C]	ET PV [�C]
2022/11/15	11:44:32.350	0.00	0.00	0.00	0.00	0.30	0.57	0.00	0.01	0.16	1.17	2.17	3.16	4.18	5.17	6.17	7.17	8.18	9.16	0.00	20.04
2022/11/15	11:44:37.353	0.00	0.00	0.00	0.00	0.26	0.70	0.00	0.01	0.17	1.17	2.17	3.16	4.18	5.17	6.18	7.17	8.16	9.16	0.00	20.53
2022/11/15	11:44:42.363	0.00	0.00	0.00	0.00	0.39	0.79	0.05	0.01	0.16	1.15	2.17	3.16	4.17	5.16	6.17	7.17	8.16	9.17	0.00	19.56
2022/11/15	11:44:47.369	0.00	0.00	0.00	0.00	0.74	0.20	0.05	0.01	0.19	1.15	2.16	3.16	4.17	5.17	6.15	7.15	8.17	9.17	0.00	19.87
2022/11/15	11:44:52.378	10.00	0.00	0.00	0.00	0.45	0.02	0.05	0.01	0.15	1.17	2.15	3.16	4.19	5.18	6.17	7.15	8.17	9.17	0.00	20.77
2022/11/15	11:44:57.382	10.00	0.00	0.00	0.00	0.74	0.12	0.05	0.01	0.16	1.17	2.17	3.17	4.16	5.19	6.19	7.18	8.18	9.17	0.00	20.36
2022/11/15	11:45:02.383	10.00	0.00	0.00	0.00	0.16	0.56	0.05	0.01	0.18	1.17	2.17	3.17	4.15	5.16	6.16	7.15	8.17	9.16	0.00	20.34
2022/11/15	11:45:07.391	10.00	0.00	0.00	0.00	0.18	0.02	0.05	0.01	0.18	1.16	2.18	3.17	4.17	5.17	6.17	7.16	8.19	9.15	0.00	19.07
2022/11/15	11:45:12.393	10.00	0.00	0.00	0.00	0.93	0.24	0.05	0.01	0.16	1.17	2.16	3.17	4.17	5.17	6.18	7.15	8.16	9.16	0.00	19.52
2022/11/15	11:45:17.394	10.00	0.00	0.00	0.00	0.25	0.06	0.05	0.01	0.18	1.16	2.16	3.15	4.17	5.16	6.16	7.16	8.16	9.17	0.00	20.78
2022/11/15	11:45:22.395	10.00	0.00	0.00	0.00	0.64	0.48	0.05	0.01	0.16	1.17	2.17	3.16	4.17	5.16	6.17	7.19	8.17	9.18	0.00	20.44
2022/11/15	11:45:27.403	10.00	0.00	0.00	0.00	0.64	0.90	0.05	0.01	0.17	1.16	2.16	3.16	4.16	5.17	6.17	7.17	8.15	9.18	0.00	20.03
2022/11/15	11:45:32.410	10.00	0.00	0.00	0.00	0.31	0.96	0.05	0.01	0.17	1.16	2.16	3.15	4.16	5.16	6.16	7.16	8.17	9.17	0.00	20.76
2022/11/15	11:45:37.419	10.00	0.00	0.00	0.00	0.35	0.00	0.05	0.01	0.16	1.16	2.17	3.18	4.17	5.17	6.17	7.16	8.17	9.17	0.00	20.08
2022/11/15	11:45:42.423	25.00	0.00	0.00	0.00	0.16	0.28	0.05	0.01	0.17	1.17	2.18	3.16	4.17	5.15	6.15	7.16	8.17	9.16	0.00	20.41
2022/11/15	11:45:47.426	25.00	28.41	0.00	0.00	0.12	0.09	0.05	0.01	0.17	1.17	2.18	3.18	4.17	5.18	6.16	7.16	8.17	9.18	0.00	20.67
2022/11/15	11:45:52.428	25.00	25.08	0.00	0.00	0.05	0.71	0.05	0.01	0.18	1.16	2.16	3.16	4.15	5.14	6.17	7.18	8.16	9.16	0.00	20.24
2022/11/15	11:45:57.430	25.00	78.66	0.00	0.00	0.78	0.30	0.05	0.02	0.18	1.17	2.17	3.17	4.15	5.17	6.18	7.16	8.17	9.16	0.00	20.56
2022/11/15	11:46:02.440	25.00	0.00	0.00	0.00	0.91	0.04	0.05	0.02	0.15	1.17	2.18	3.17	4.16	5.17	6.18	7.17	8.17	9.18	0.00	19.92
2022/11/15	11:46:07.449	25.00	13.66	0.00	0.00	0.17	0.29	0.05	0.07	0.15	1.17	2.18	3.18	4.18	5.16	6.15	7.18	8.18	9.17	0.00	20.35
2022/11/15	11:46:12.454	25.00	0.00	0.00	0.00	0.02	0.94	0.05	0.02	0.16	1.19	2.16	3.17	4.16	5.18	6.17	7.17	8.17	9.16	0.00	19.33
2022/11/15	11:46:17.456	25.00	24.03	0.00	0.00	0.48	0.79	0.05	0.06	0.16	1.20	2.17	3.19	4.18	5.18	6.17	7.15	8.18	9.17	0.00	19.87
2022/11/15	11:46:22.465	25.00	25.55	0.00	0.00	0.48	0.10	0.05	0.04	0.18	1.18	2.16	3.15	4.16	5.17	6.16	7.16	8.16	9.17	0.00	19.06
2022/11/15	11:46:27.467	25.00	25.24	0.00	0.00	0.83	0.68	0.05	0.04	0.17	1.16	2.16	3.18	4.17	5.17	6.18	7.16	8.18	9.16	0.00	19.90
2022/11/15	11:46:32.469	25.00	25.03	0.00	0.00	0.52	0.80	0.05	0.03	0.17	1.18	2.16	3.16	4.17	5.18	6.18	7.18	8.17	9.17	0.00	19.26
2022/11/15	11:46:37.474	25.00	24.94	0.00	0.00	0.94	0.69	0.05	0.03	0.16	1.16	2.16	3.18	4.16	5.16	6.18	7.17	8.16	9.18	0.00	20.95
2022/11/15	11:46:42.479	25.00	24.96	0.00	0.00	0.81	0.19	0.05	0.03	0.17	1.17	2.17	3.14	4.18	5.16	6.17	7.15	8.17	9.18	0.00	20.01
2022/11/15	11:46:47.483	25.00	24.62	0.00	0.00	0.49	0.49	0.05	0.03	0.16	1.16	2.16	3.17	4.17	5.17	6.16	7.16	8.16	9.16	0.00	19.97
2022/11/15	11:46:52.491	25.00	25.55	0.00	0.00	0.16	0.08	0.05	0.03	0.17	1.19	2.15	3.15	4.14	5.16	6.17	7.18	8.15	9.16	0.00	19.42
2022/11/15	11:46:57.494	25.00	24.97	0.00	0.00	0.99	0.79	0.05	0.03	0.18	1.17	2.17	3.18	4.19	5.17	6.17	7.17	8.16	9.17	0.00	20.39
2022/11/15	11:47:02.501	25.00	24.96	0.00	0.00	0.97	0.47	0.05	0.03	0.16	1.16	2.18	3.17	4.17	5.16	6.16	7.16	8.16	9.18	0.00	20.87
2022/11/15	11:47:07.507	25.00	24.95	0.00	0.00	0.63	0.19	0.05	0.03	0.15	1.18	2.18	3.17	4.16	5.18	6.17	7.15	8.15	9.16	0.00	20.32
2022/11/15	11:47:12.514	25.00	24.97	0.00	0.00	0.92	0.69	0.05	0.03	0.16	1.15	2.18	3.18	4.17	5.18	6.16	7.17	8.16	9.17	0.00	20.73
2022/11/15	11:47:17.521	25.00	24.95	0.00	0.00	0.44	0.89	0.05	0.03	0.16	1.15	2.16	3.17	4.17	5.17	6.17	7.16	8.17	9.15	0.00	20.12
2022/11/15	11:47:22.522	25.00	24.96	0.00	0.00	0.48	0.45	0.05	0.03	0.16	1.17	2.15	3.15	4.18	5.17	6.15	7.17	8.18	9.16	0.00	20.11
2022/11/15	11:47:27.528	25.00	24.96	0.00	0.00	0.73	0.38	0.05	0.03	0.17	1.17	2.17	3.16	4.16	5.15	6.17	7.18	8.17	9.17	0.00	20.85
2022/11/15	11:47:32.532	40.00	39.78	0.00	0.00	0.56	0.33	0.05	0.04	0.18	1.17	2.15	3.18	4.16	5.16	6.16	7.17	8.15	9.17	0.00	20.91
2022/11/15	11:47:37.534	40.00	39.99	0.00	0.00	0.38	0.07	0.05	0.04	0.16	1.16	2.17	3.15	4.16	5.16	6.16	7.17	8.19	9.17	0.00	19.44
2022/11/15	11:47:42.545	50.00	49.34	0.00	0.00	0.10	0.99	0.05	0.04	0.15	1.17	2.17	3.18	4.16	5.16	6.18	7.16	8.17	9.15	0.00	20.44
2022/11/15	11:47:47.556	50.00	49.97	0.00	0.00	0.14	0.55	0.05	0.04	0.17	1.17	2.16	3.16	4.16	5.16	6.18	7.18	8.18	9.15	0.00	19.54
2022/11/15	11:47:52.564	60.00	59.74	0.00	0.00	0.17	0.97	0.05	0.04	0.18	1.17	2.16	3.18	4.16	5.16	6.16	7.17	8.16	9.15	0.00	20.58
2022/11/15	11:47:57.571	60.00	59.99	0.00	0.00	0.39	0.43	0.05	0.04	0.16	1.18	2.16	3.17	4.17	5.18	6.16	7.17	8.18	9.17	0.00	19.38
2022/11/15	11:48:02.578	75.00	74.02	0.00	0.00	0.39	0.18	0.05	0.05	0.15	1.16	2.18	3.15	4.18	5.17	6.17	7.17	8.17	9.16	0.00	19.94
2022/11/15	11:48:07.584	75.00	74.97	0.00	0.00	0.55	0.37	0.05	0.05	0.16	1.16	2.16	3.17	4.18	5.17	6.18	7.17	8.16	9.16	0.00	19.24
2022/11/15	11:48:12.587	75.00	74.98	0.00	0.00	0.68	0.49	0.05	0.05	0.17	1.17	2.17	3.15	4.17	5.17	6.18	7.17	8.17	9.17	0.00	20.02
2022/11/15	11:48:17.590	75.00	74.97	0.00	0.00	0.74	0.17	0.05	0.05	0.15	1.16	2.18	3.18	4.17	5.18	6.18	7.16	8.16	9.17	0.00	20.62
2022/11/15	11:48:22.590	75.00	74.97	0.00	0.00	0.58	0.30	0.05	0.05	0.18	1.16	2.17	3.16	4.16	5.16	6.17	7.17	8.16	9.18	0.00	20.95
2022/11/15	11:48:27.591	75.00	74.96	0.00	0.00	0.37	0.78	0.05	0.05	0.18	1.16	2.17	3.17	4.18	5.16	6.18	7.17	8.17	9.17	0.00	20.10
2022/11/15	11:48:32.599	75.00	74.94	0.00	0.00	0.46	0.68	0.05	0.05	0.15	1.17	2.16	3.16	4.15	5.17	6.15	7.17	8.17	9.18	0.00	19.34
2022/11/15	11:48:37.608	75.00	74.96	0.00	0.00	0.15	0.07	0.05	0.05	0.18	1.17	2.17	3.18	4.17	5.17	6.16	7.16	8.17	9.16	0.00	20.99
2022/11/15	11:48:42.616	75.00	74.98	0.00	0.00	0.55	0.11	0.05	0.05	0.17	1.18	2.19	3.17	4.18	5.19	6.18	7.17	8.16	9.17	0.00	19.93
2022/11/15	11:48:47.625	75.00	74.96	0.00	0.00	0.03	0.72	0.10	0.05	0.16	1.15	2.17	3.17	4.17	5.17	6.16	7.15	8.16	9.16	0.00	20.91
2022/11/15	11:48:52.629	75.00	74.97	0.00	0.00	0.26	0.20	0.10	0.05	0.16	1.15	2.17	3.16	4.18	5.18	6.17	7.15	8.17	9.18	0.00	19.53
2022/11/15	11:48:57.635	75.00	74.96	0.00	0.00	0.35	0.73	0.10	0.05	0.17	1.17	2.18	3.16	4.16	5.18	6.16	7.16	8.16	9.17	0.00	19.09
2022/11/15	11:49:02.643	75.00	74.95	0.00	0.00	0.14	0.04	0.10	0.05	0.17	1.18	2.17	3.17	4.16	5.15	6.17	7.17	8.16	9.18	0.00	19.30
2022/11/15	11:49:07.646	75.00	74.97	0.00	0.00	0.82	0.07	0.10	0.05	0.17	1.16	2.16	3.16	4.16	5.15	6.17	7.17	8.17	9.17	0.00	20.55
2022/11/15	11:49:12.650	75.00	74.96	0.00	0.00	0.10	0.39	0.10	0.05	0.15	1.16	2.16	3.17	4.14	5.16	6.15	7.17	8.17	9.17	0.00	20.74
2022/11/15	11:49:17.654	75.00	74.99	0.00	0.00	0.37	0.94	0.10	0.05	0.17	1.14	2.17	3.17	4.16	5.17	6.18	7.16	8.15	9.16	0.00	19.60
2022/11/15	11:49:22.662	75.00	74.97	0.00	0.00	0.56	0.59	0.10	0.05	0.16	1.16	2.16	3.16	4.17	5.16	6.16	7.17	8.18	9.19	0.00	20.72
2022/11/15	11:49:27.665	75.00	74.97	0.00	0.00	0.36	0.08	0.10	0.05	0.16	1.17	2.17	3.18	4.17	5.16	6.17	7.16	8.17	9.15	0.00	19.62
2022/11/15	11:49:32.673	75.00	74.99	0.00	0.00	0.96	0.18	0.10	0.05	0.16	1.17	2.17	3.16	4.16	5.17	6.19	7.17	8.17	9.17	0.00	20.67
2022/11/15	11:49:37.683	75.00	74.97	0.00	0.00	0.49	0.29	0.10	0.05	0.18	1.15	2.15	3.17	4.17	5.16	6.18	7.17	8.18	9.17	0.00	19.85
2022/11/15	11:49:42.692	75.00	74.95	0.00	0.00	0.85	0.25	0.10	0.05	0.16	1.16	2.17	3.16	4.18	5.16	6.16	7.17	8.17	9.16	0.00	19.94
2022/11/15	11:49:47.695	75.00	74.99	0.00	0.00	0.52	0.97	0.10	0.05	0.17	1.16	2.18	3.16	4.17	5.17	6.16	7.17	8.16	9.16	0.00	20.67
2022/11/15	11:49:52.705	75.00	74.97	0.00	0.00	0.60	0.77	0.05	0.05	0.18	1.18	2.16	3.18	4.16	5.17	6.18	7.16	8.20	9.18	0.00	19.18
2022/11/15	11:49:57.705	25.00	24.78	0.00	0.00	0.23	0.43	0.05	0.04	0.17	1.16	2.18	3.17	4.17	5.17	6.14	7.16	8.17	9.16	0.00	20.28
2022/11/15	11:50:02.711	25.00	24.96	0.00	0.00	0.58	0.96	0.05	0.03	0.16	1.16	2.18	3.17	4.17	5.14	6.16	7.18	8.15	9.17	0.00	20.48
2022/11/15	11:50:07.721	25.00	24.99	0.00	0.00	0.50	0.57	0.05	0.07	0.17	1.17	2.16	3.16	4.18	5.15	6.17	7.16	8.16	9.17	0.00	19.28
2022/11/15	11:50:12.727	25.00	24.98	0.00	0.00	0.63	0.17	0.05	0.07	0.16	1.17	2.16	3.16	4.18	5.18	6.17	7.17	8.17	9.16	0.00	20.22
