<Header>
Filename:	20221115_H2_Plastik_Gr7_puls_5bar_2022-15-11@14-02-18.dat
Comment:	
</Header>


Date	Time	MFC1 SP [ml/min]	MFC1 PV [ml/min]	MFC2 SP [ml/min]	MFC2 PV [ml/min]	MFC3 SP [ml/min]	MFC3 PV [ml/min]	P SP [bar]	P PV [bar]	T0 [�C]	T1 [�C]	T2 [�C]	T3 [�C]	T4 [�C]	T5 [�C]	T6 [�C]	T7 [�C]	Tcjc0 [�C]	Tcjc1 [�C]	ET SP [�C]	ET PV [�C]
2022/11/15	14:02:20.176	0.00	0.00	0.00	0.00	0.78	0.50	0.00	0.01	0.17	1.15	2.14	3.15	4.16	5.16	6.19	7.17	8.17	9.17	0.00	20.25
2022/11/15	14:02:25.180	0.00	0.00	0.00	0.00	0.56	0.71	0.00	0.01	0.17	1.16	2.17	3.16	4.16	5.16	6.18	7.16	8.18	9.17	0.00	19.82
2022/11/15	14:02:30.187	0.00	0.00	0.00	0.00	0.38	0.26	0.00	0.01	0.15	1.16	2.16	3.18	4.15	5.16	6.17	7.17	8.16	9.17	0.00	19.59
2022/11/15	14:02:35.188	0.00	0.00	0.00	0.00	0.19	0.70	0.00	0.01	0.17	1.16	2.17	3.17	4.17	5.17	6.18	7.17	8.16	9.16	0.00	19.28
2022/11/15	14:02:40.189	0.00	0.00	0.00	0.00	0.53	0.18	0.00	0.01	0.19	1.18	2.16	3.16	4.17	5.17	6.16	7.18	8.17	9.16	0.00	20.76
2022/11/15	14:02:45.189	40.00	0.00	0.00	0.00	0.10	0.35	5.00	0.01	0.17	1.16	2.18	3.18	4.17	5.15	6.14	7.16	8.16	9.16	0.00	19.61
2022/11/15	14:02:50.197	40.00	43.47	0.00	0.00	0.55	0.06	5.00	0.01	0.17	1.17	2.17	3.17	4.17	5.17	6.17	7.18	8.17	9.16	0.00	20.83
2022/11/15	14:02:55.202	40.00	39.71	0.00	0.00	0.48	0.85	5.00	0.08	0.17	1.18	2.17	3.16	4.15	5.17	6.15	7.16	8.17	9.19	0.00	19.25
2022/11/15	14:03:00.209	40.00	39.81	0.00	0.00	0.14	0.91	5.00	0.21	0.16	1.16	2.17	3.16	4.17	5.15	6.17	7.16	8.18	9.17	0.00	19.01
2022/11/15	14:03:05.214	40.00	39.85	0.00	0.00	0.91	0.98	5.00	0.34	0.16	1.16	2.17	3.19	4.16	5.17	6.16	7.18	8.16	9.16	0.00	19.10
2022/11/15	14:03:10.215	40.00	39.89	0.00	0.00	0.15	0.75	5.00	0.47	0.17	1.16	2.16	3.17	4.16	5.16	6.17	7.16	8.15	9.18	0.00	20.84
2022/11/15	14:03:15.222	40.00	39.92	0.00	0.00	0.91	0.81	5.00	0.61	0.16	1.15	2.17	3.17	4.16	5.15	6.18	7.15	8.15	9.16	0.00	19.25
2022/11/15	14:03:20.225	50.00	49.56	0.00	0.00	0.48	0.20	5.00	0.76	0.18	1.15	2.17	3.17	4.18	5.17	6.17	7.17	8.15	9.16	0.00	20.46
2022/11/15	14:03:25.230	50.00	49.95	0.00	0.00	0.69	0.40	5.00	0.93	0.18	1.17	2.18	3.17	4.18	5.17	6.17	7.17	8.18	9.18	0.00	19.32
2022/11/15	14:03:30.230	50.00	49.93	0.00	0.00	0.85	0.70	5.00	1.09	0.17	1.18	2.15	3.17	4.16	5.16	6.17	7.17	8.18	9.16	0.00	19.46
2022/11/15	14:03:35.231	50.00	49.92	0.00	0.00	0.98	0.20	5.00	1.25	0.17	1.17	2.17	3.16	4.16	5.16	6.17	7.16	8.16	9.16	0.00	20.37
2022/11/15	14:03:40.240	50.00	49.93	0.00	0.00	0.09	0.69	5.00	1.42	0.17	1.16	2.18	3.16	4.17	5.17	6.15	7.15	8.16	9.17	0.00	19.57
2022/11/15	14:03:45.246	50.00	49.94	0.00	0.00	0.39	0.22	5.00	1.59	0.15	1.17	2.17	3.16	4.15	5.17	6.16	7.16	8.16	9.17	0.00	19.40
2022/11/15	14:03:50.247	50.00	49.94	0.00	0.00	0.38	0.17	5.00	1.75	0.17	1.17	2.18	3.16	4.18	5.18	6.16	7.17	8.18	9.16	0.00	20.51
2022/11/15	14:03:55.252	50.00	49.94	0.00	0.00	0.28	0.04	5.00	1.92	0.16	1.18	2.17	3.16	4.16	5.17	6.17	7.16	8.17	9.18	0.00	19.43
2022/11/15	14:04:00.260	50.00	49.97	0.00	0.00	0.96	0.94	5.00	2.09	0.18	1.15	2.16	3.16	4.17	5.17	6.17	7.16	8.16	9.17	0.00	20.62
2022/11/15	14:04:05.262	50.00	49.99	0.00	0.00	0.95	0.02	5.00	2.25	0.17	1.18	2.17	3.17	4.14	5.16	6.17	7.17	8.16	9.17	0.00	20.57
2022/11/15	14:04:10.264	50.00	49.99	0.00	0.00	0.86	0.45	5.00	2.42	0.16	1.17	2.17	3.17	4.18	5.17	6.17	7.19	8.16	9.17	0.00	20.96
2022/11/15	14:04:15.266	50.00	49.93	0.00	0.00	0.51	0.56	5.00	2.58	0.16	1.16	2.15	3.16	4.15	5.17	6.17	7.19	8.16	9.17	0.00	19.48
2022/11/15	14:04:20.275	50.00	49.95	0.00	0.00	0.45	0.25	5.00	2.75	0.16	1.16	2.18	3.18	4.18	5.15	6.17	7.17	8.19	9.18	0.00	19.39
2022/11/15	14:04:25.276	50.00	49.99	0.00	0.00	0.53	0.29	5.00	2.91	0.15	1.18	2.15	3.17	4.16	5.17	6.17	7.17	8.18	9.17	0.00	19.18
2022/11/15	14:04:30.291	50.00	49.95	0.00	0.00	0.45	0.27	5.00	3.08	0.18	1.17	2.16	3.19	4.17	5.18	6.17	7.17	8.16	9.16	0.00	20.99
2022/11/15	14:04:35.294	50.00	49.97	0.00	0.00	0.22	0.77	5.00	3.24	0.16	1.17	2.17	3.16	4.16	5.16	6.17	7.16	8.17	9.18	0.00	20.21
2022/11/15	14:04:40.301	50.00	49.93	0.00	0.00	0.53	0.84	5.00	3.40	0.15	1.15	2.17	3.16	4.17	5.16	6.17	7.16	8.17	9.18	0.00	20.20
2022/11/15	14:04:45.303	50.00	49.97	0.00	0.00	0.42	0.79	5.00	3.57	0.19	1.16	2.16	3.18	4.16	5.18	6.18	7.17	8.17	9.16	0.00	19.13
2022/11/15	14:04:50.307	50.00	50.02	0.00	0.00	0.63	0.38	5.00	3.74	0.17	1.17	2.18	3.18	4.16	5.19	6.17	7.17	8.15	9.16	0.00	20.21
2022/11/15	14:04:55.308	50.00	49.98	0.00	0.00	0.68	0.64	5.00	3.90	0.17	1.16	2.16	3.15	4.16	5.16	6.16	7.17	8.18	9.17	0.00	20.36
2022/11/15	14:05:00.314	50.00	49.98	0.00	0.00	0.31	0.88	5.00	4.06	0.17	1.17	2.18	3.15	4.18	5.16	6.18	7.16	8.15	9.17	0.00	20.71
