<Header>
Filename:	20221115_He_bis10bar_Gr7_2022-18-11@15-14-07.dat
Comment:	
</Header>

Date	Time	MFC1 SP [ml/min]	MFC1 PV [ml/min]	MFC2 SP [ml/min]	MFC2 PV [ml/min]	MFC3 SP [ml/min]	MFC3 PV [ml/min]	P SP [bar]	P PV [bar]	T0 [�C]	T1 [�C]	T2 [�C]	T3 [�C]	T4 [�C]	T5 [�C]	T6 [�C]	T7 [�C]	Tcjc0 [�C]	Tcjc1 [�C]	ET SP [�C]	ET PV [�C]
2022/11/18	15:14:09.421	0.00	0.00	0.00	0.00	0.56	0.15	0.00	0.01	0.17	1.19	2.16	3.18	4.17	5.17	6.18	7.18	8.17	9.16	0.00	19.97
2022/11/18	15:14:14.424	0.00	0.00	0.00	0.00	0.88	0.31	0.00	0.01	0.16	1.17	2.17	3.17	4.17	5.15	6.17	7.15	8.17	9.17	0.00	20.62
2022/11/18	15:14:19.426	0.00	0.00	0.00	0.00	0.70	0.33	0.00	0.01	0.16	1.18	2.17	3.17	4.16	5.18	6.17	7.18	8.16	9.17	0.00	20.29
2022/11/18	15:14:24.431	0.00	0.00	0.00	0.00	0.62	0.81	0.00	0.01	0.17	1.17	2.16	3.16	4.17	5.17	6.17	7.15	8.18	9.16	0.00	19.46
2022/11/18	15:14:29.439	0.00	0.00	0.00	0.00	0.61	0.38	0.00	0.01	0.17	1.15	2.18	3.17	4.16	5.16	6.17	7.17	8.16	9.17	0.00	20.31
2022/11/18	15:14:34.439	0.00	0.00	71.42	71.97	0.71	0.33	0.00	0.16	0.16	1.18	2.17	3.18	4.18	5.17	6.17	7.17	8.17	9.16	0.00	20.76
2022/11/18	15:14:39.443	0.00	0.00	71.42	71.23	0.19	0.36	0.50	0.37	0.16	1.17	2.16	3.17	4.18	5.16	6.17	7.17	8.17	9.16	0.00	20.19
2022/11/18	15:14:44.444	0.00	0.00	71.42	71.30	0.08	0.84	0.50	0.52	0.17	1.16	2.15	3.16	4.18	5.17	6.16	7.16	8.17	9.17	0.00	19.09
2022/11/18	15:14:49.454	0.00	0.00	71.42	71.33	0.21	0.21	0.50	0.50	0.16	1.17	2.15	3.17	4.18	5.17	6.18	7.17	8.16	9.16	0.00	20.64
2022/11/18	15:14:54.463	0.00	0.00	71.42	71.33	0.93	0.73	0.50	0.50	0.15	1.18	2.17	3.17	4.17	5.18	6.16	7.16	8.16	9.15	0.00	20.23
2022/11/18	15:14:59.467	0.00	0.00	71.42	71.41	0.96	0.59	0.50	0.50	0.17	1.16	2.18	3.18	4.16	5.17	6.18	7.15	8.15	9.16	0.00	19.13
2022/11/18	15:15:04.476	0.00	0.00	71.42	71.40	0.25	0.98	0.50	0.50	0.17	1.17	2.16	3.14	4.18	5.16	6.19	7.16	8.18	9.16	0.00	20.76
2022/11/18	15:15:09.485	0.00	0.00	71.42	71.42	0.25	0.19	0.50	0.50	0.15	1.16	2.16	3.18	4.17	5.18	6.19	7.17	8.17	9.16	0.00	20.80
2022/11/18	15:15:14.491	0.00	0.00	71.42	71.37	0.61	0.62	0.50	0.50	0.18	1.17	2.15	3.17	4.15	5.18	6.18	7.17	8.18	9.16	0.00	20.79
2022/11/18	15:15:19.493	0.00	0.00	71.42	71.38	0.23	0.75	0.50	0.50	0.17	1.17	2.17	3.18	4.16	5.16	6.19	7.16	8.17	9.18	0.00	19.13
2022/11/18	15:15:24.494	0.00	0.00	71.42	71.40	0.30	0.21	0.50	0.50	0.17	1.16	2.16	3.14	4.17	5.16	6.17	7.17	8.17	9.16	0.00	20.75
2022/11/18	15:15:29.503	0.00	0.00	71.42	71.38	0.16	0.80	0.50	0.50	0.15	1.17	2.15	3.16	4.17	5.17	6.17	7.17	8.16	9.17	0.00	19.35
2022/11/18	15:15:34.504	0.00	0.00	71.42	71.37	0.69	0.95	0.50	0.50	0.17	1.15	2.16	3.17	4.18	5.16	6.19	7.15	8.17	9.16	0.00	19.05
2022/11/18	15:15:39.504	0.00	0.00	71.42	71.38	0.94	0.22	0.50	0.50	0.19	1.17	2.17	3.15	4.16	5.16	6.18	7.17	8.16	9.17	0.00	19.01
2022/11/18	15:15:44.508	0.00	0.00	71.42	71.37	0.97	1.00	0.50	0.50	0.16	1.16	2.16	3.18	4.19	5.15	6.16	7.17	8.18	9.17	0.00	20.76
2022/11/18	15:15:49.515	0.00	0.00	71.42	71.41	0.76	0.25	0.50	0.50	0.17	1.18	2.17	3.18	4.16	5.15	6.19	7.18	8.15	9.16	0.00	20.14
2022/11/18	15:15:54.516	0.00	0.00	71.42	71.40	0.51	0.74	0.50	0.50	0.17	1.18	2.19	3.16	4.16	5.18	6.17	7.14	8.16	9.17	0.00	20.45
2022/11/18	15:15:59.520	0.00	0.00	71.42	71.39	0.86	0.07	0.50	0.50	0.17	1.15	2.17	3.17	4.17	5.17	6.17	7.18	8.17	9.17	0.00	20.79
2022/11/18	15:16:04.526	0.00	0.00	71.42	71.39	0.38	0.07	0.50	0.50	0.16	1.17	2.16	3.17	4.18	5.17	6.13	7.18	8.17	9.16	0.00	20.14
2022/11/18	15:16:09.533	0.00	0.00	71.42	71.40	0.23	0.03	0.50	0.50	0.16	1.16	2.17	3.17	4.17	5.18	6.16	7.16	8.17	9.18	0.00	20.51
2022/11/18	15:16:14.535	0.00	0.00	71.42	71.41	0.19	0.85	0.50	0.50	0.17	1.18	2.17	3.17	4.19	5.18	6.16	7.16	8.15	9.17	0.00	19.73
2022/11/18	15:16:19.537	0.00	0.00	71.42	71.37	0.85	0.89	0.50	0.50	0.18	1.16	2.18	3.16	4.18	5.16	6.16	7.16	8.19	9.17	0.00	19.93
2022/11/18	15:16:24.544	0.00	0.00	71.42	71.42	0.94	0.96	0.50	0.50	0.16	1.17	2.18	3.17	4.14	5.17	6.17	7.16	8.18	9.19	0.00	19.60
2022/11/18	15:16:29.553	0.00	0.00	71.42	71.39	0.76	0.37	0.50	0.50	0.18	1.17	2.16	3.17	4.14	5.17	6.15	7.18	8.17	9.16	0.00	19.01
2022/11/18	15:16:34.559	0.00	0.00	71.42	71.40	0.05	0.69	0.50	0.50	0.17	1.18	2.17	3.18	4.18	5.18	6.17	7.19	8.16	9.16	0.00	19.66
2022/11/18	15:16:39.560	0.00	0.00	71.42	71.36	0.87	0.86	0.50	0.50	0.17	1.19	2.16	3.16	4.16	5.15	6.18	7.17	8.17	9.17	0.00	19.59
2022/11/18	15:16:44.563	0.00	0.00	71.42	71.43	0.29	0.44	1.00	0.55	0.17	1.17	2.17	3.16	4.17	5.18	6.16	7.16	8.17	9.17	0.00	20.01
2022/11/18	15:16:49.568	0.00	0.00	71.42	71.41	0.58	0.94	1.00	0.84	0.17	1.17	2.17	3.16	4.16	5.16	6.18	7.17	8.18	9.16	0.00	20.83
