<Header>
Filename:	20221115_He_siviert_10bar_Gr7_2022-18-11@15-54-48.dat
Comment:	
</Header>

Date	Time	MFC1 SP [ml/min]	MFC1 PV [ml/min]	MFC2 SP [ml/min]	MFC2 PV [ml/min]	MFC3 SP [ml/min]	MFC3 PV [ml/min]	P SP [bar]	P PV [bar]	T0 [�C]	T1 [�C]	T2 [�C]	T3 [�C]	T4 [�C]	T5 [�C]	T6 [�C]	T7 [�C]	Tcjc0 [�C]	Tcjc1 [�C]	ET SP [�C]	ET PV [�C]
2022/11/18	15:54:51.530	0.00	0.00	0.00	0.00	0.69	0.68	0.00	0.01	0.15	1.16	2.18	3.17	4.16	5.15	6.17	7.16	8.16	9.17	0.00	20.59
2022/11/18	15:54:56.538	0.00	0.00	0.00	0.00	0.25	0.07	0.00	0.01	0.16	1.17	2.16	3.15	4.17	5.15	6.18	7.16	8.17	9.17	0.00	19.58
2022/11/18	15:55:01.546	0.00	0.00	0.00	0.00	0.30	0.41	0.00	0.01	0.18	1.18	2.18	3.16	4.18	5.16	6.17	7.16	8.16	9.17	0.00	19.61
2022/11/18	15:55:06.554	0.00	0.00	0.00	0.00	0.64	0.73	0.00	0.01	0.15	1.17	2.18	3.15	4.19	5.17	6.17	7.17	8.18	9.17	0.00	20.06
2022/11/18	15:55:11.558	0.00	0.00	14.28	0.00	0.55	0.95	0.00	0.01	0.17	1.17	2.17	3.16	4.16	5.17	6.16	7.17	8.18	9.18	0.00	20.82
2022/11/18	15:55:16.563	0.00	0.00	14.28	14.28	0.02	0.65	0.00	0.08	0.16	1.15	2.16	3.16	4.17	5.16	6.17	7.18	8.18	9.19	0.00	20.55
2022/11/18	15:55:21.571	0.00	0.00	14.28	14.17	0.25	0.57	10.00	0.14	0.17	1.15	2.17	3.17	4.17	5.18	6.16	7.17	8.18	9.19	0.00	19.98
2022/11/18	15:55:26.571	0.00	0.00	14.28	14.18	0.70	0.34	10.00	0.21	0.17	1.17	2.15	3.18	4.17	5.15	6.15	7.15	8.16	9.17	0.00	19.41
2022/11/18	15:55:31.575	0.00	0.00	14.28	14.22	0.87	0.29	10.00	0.28	0.16	1.16	2.15	3.16	4.17	5.16	6.14	7.15	8.17	9.17	0.00	20.99
2022/11/18	15:55:36.577	0.00	0.00	14.28	14.20	0.87	0.92	10.00	0.35	0.17	1.18	2.17	3.18	4.17	5.17	6.17	7.17	8.16	9.16	0.00	19.45
