<Header>
Filename:	20221115_N2_Gr7_2022-15-11@11-27-16.dat
Comment:	
</Header>


Date	Time	MFC1 SP [ml/min]	MFC1 PV [ml/min]	MFC2 SP [ml/min]	MFC2 PV [ml/min]	MFC3 SP [ml/min]	MFC3 PV [ml/min]	P SP [bar]	P PV [bar]	T0 [�C]	T1 [�C]	T2 [�C]	T3 [�C]	T4 [�C]	T5 [�C]	T6 [�C]	T7 [�C]	Tcjc0 [�C]	Tcjc1 [�C]	ET SP [�C]	ET PV [�C]
2022/11/15	11:27:21.763	0.00	0.00	0.00	0.00	0.99	0.64	0.00	0.01	0.15	1.17	2.16	3.16	4.17	5.17	6.16	7.14	8.18	9.18	0.00	20.14
2022/11/15	11:27:26.765	0.00	0.00	71.42	167.06	0.63	0.31	0.00	0.01	0.16	1.15	2.17	3.17	4.17	5.17	6.16	7.15	8.15	9.16	0.00	20.62
2022/11/15	11:27:31.775	0.00	0.00	71.42	71.24	0.90	0.29	1.00	0.19	0.17	1.17	2.15	3.16	4.17	5.17	6.16	7.18	8.17	9.17	0.00	19.64
2022/11/15	11:27:36.776	0.00	0.00	71.42	71.33	0.90	0.07	1.00	0.40	0.17	1.17	2.15	3.15	4.17	5.16	6.16	7.18	8.17	9.15	0.00	19.50
2022/11/15	11:27:41.783	0.00	0.00	71.42	71.30	0.45	0.75	1.00	0.61	0.17	1.17	2.16	3.17	4.17	5.16	6.17	7.17	8.17	9.17	0.00	20.54
2022/11/15	11:27:46.787	0.00	0.00	71.42	71.34	0.44	0.21	1.00	0.82	0.17	1.16	2.17	3.16	4.17	5.18	6.16	7.15	8.16	9.17	0.00	19.82
2022/11/15	11:27:51.790	0.00	0.00	71.42	71.30	0.98	0.79	1.00	1.03	0.16	1.16	2.18	3.15	4.16	5.16	6.15	7.16	8.16	9.16	0.00	20.58
2022/11/15	11:27:56.791	0.00	0.00	71.42	71.39	0.04	0.54	1.00	0.95	0.16	1.16	2.16	3.16	4.18	5.17	6.18	7.16	8.18	9.17	0.00	20.57
2022/11/15	11:28:01.799	0.00	0.00	71.42	71.40	0.08	0.88	1.00	0.97	0.18	1.16	2.17	3.16	4.15	5.17	6.17	7.15	8.15	9.18	0.00	20.46
2022/11/15	11:28:06.806	0.00	0.00	71.42	71.40	0.37	0.50	1.00	1.00	0.17	1.16	2.17	3.16	4.17	5.17	6.16	7.17	8.16	9.16	0.00	19.57
