<Header>
Filename:	20221115_H2_volume_10bar_Gr7_true_2022-15-11@16-16-35.dat
Comment:	
</Header>

<Data>
Date	Time	MFC1 SP [ml/min]	MFC1 PV [ml/min]	MFC2 SP [ml/min]	MFC2 PV [ml/min]	MFC3 SP [ml/min]	MFC3 PV [ml/min]	P SP [bar]	P PV [bar]	T0 [�C]	T1 [�C]	T2 [�C]	T3 [�C]	T4 [�C]	T5 [�C]	T6 [�C]	T7 [�C]	Tcjc0 [�C]	Tcjc1 [�C]	ET SP [�C]	ET PV [�C]
2022/11/15	16:16:37.753	0.00	0.00	0.00	0.00	0.62	0.56	10.00	0.02	0.17	1.16	2.16	3.17	4.17	5.17	6.16	7.17	8.20	9.17	0.00	19.53
2022/11/15	16:16:42.755	25.00	0.00	0.00	0.00	0.59	0.80	10.00	0.02	0.16	1.17	2.17	3.17	4.18	5.16	6.16	7.15	8.19	9.16	0.00	20.29
2022/11/15	16:16:47.764	25.00	28.06	0.00	0.00	0.10	0.43	10.00	0.02	0.19	1.15	2.15	3.14	4.16	5.18	6.16	7.16	8.18	9.18	0.00	20.86
2022/11/15	16:16:52.771	25.00	5.44	0.00	0.00	0.83	0.97	10.00	0.02	0.18	1.16	2.15	3.16	4.16	5.17	6.16	7.16	8.19	9.16	0.00	19.78
2022/11/15	16:16:57.781	25.00	24.99	0.00	0.00	0.05	0.70	10.00	0.07	0.15	1.16	2.18	3.15	4.18	5.17	6.14	7.18	8.16	9.18	0.00	20.36
2022/11/15	16:17:02.791	25.00	24.92	0.00	0.00	0.39	0.20	10.00	0.16	0.18	1.17	2.17	3.16	4.17	5.17	6.16	7.16	8.16	9.16	0.00	20.09
2022/11/15	16:17:07.794	25.00	24.90	0.00	0.00	0.03	0.73	10.00	0.25	0.16	1.16	2.17	3.17	4.16	5.18	6.16	7.16	8.17	9.15	0.00	19.81
2022/11/15	16:17:12.799	25.00	24.95	0.00	0.00	0.10	0.43	10.00	0.34	0.17	1.17	2.14	3.17	4.18	5.16	6.18	7.17	8.17	9.17	0.00	19.36
2022/11/15	16:17:17.799	25.00	24.97	0.00	0.00	0.11	0.16	10.00	0.43	0.15	1.15	2.17	3.16	4.16	5.17	6.17	7.16	8.19	9.18	0.00	20.79
2022/11/15	16:17:22.804	25.00	24.93	0.00	0.00	0.67	0.27	10.00	0.53	0.15	1.17	2.18	3.16	4.16	5.19	6.17	7.17	8.16	9.17	0.00	19.49
